nt,r,time
1,1,1.1702e-6
1,6,1.14065e-5
1,11,2.6971000000000003e-5
1,16,4.778e-5
1,21,7.356000000000001e-5
1,26,0.000102965
1,31,0.000140506
1,36,0.00018142400000000002
1,41,0.00022572800000000002
1,46,0.000278328
1,51,0.000333362
1,56,0.000395831
1,61,0.00045958100000000003
1,66,0.000532219
1,71,0.000608613
1,76,0.0006902880000000001
1,81,0.000775259
1,86,0.000866943
1,91,0.000964848
1,96,0.001070068
1,101,0.001172181
1,106,0.0012865980000000001
1,111,0.0014001830000000002
1,116,0.001523777
1,121,0.0016524010000000002
1,126,0.0017811250000000002
1,131,0.001922223
1,136,0.002060905
1,141,0.0022134140000000004
1,146,0.0023646910000000004
1,151,0.0025222
1,156,0.002682243
1,161,0.002855041
1,166,0.003024952
1,171,0.0032050940000000003
1,176,0.003383201
1,181,0.003574073
1,186,0.0037694240000000004
1,191,0.00396305
1,196,0.004172858000000001
4,1,1.1726000000000002e-6
4,6,1.1657e-5
4,11,2.7913000000000002e-5
4,16,4.9513000000000005e-5
4,21,7.6475e-5
4,26,0.000107113
4,31,0.000146608
4,36,0.00018926900000000002
4,41,0.00023612800000000003
4,46,0.000291573
4,51,0.000349623
4,56,0.00041518800000000004
4,61,0.00048238500000000005
4,66,0.0005597520000000001
4,71,0.000640796
4,76,0.0007253260000000001
4,81,0.0008161290000000001
4,86,0.000913073
4,91,0.0010187030000000001
4,96,0.0011229010000000002
4,101,0.0012377990000000001
4,106,0.001351124
4,111,0.0014789660000000002
4,116,0.0016098750000000002
4,121,0.001745142
4,126,0.001884166
4,131,0.0020316450000000003
4,136,0.0021783740000000003
4,141,0.002335943
4,146,0.002494403
4,151,0.002656191
4,156,0.0028357810000000003
4,161,0.003012657
4,166,0.0032042810000000002
4,171,0.0033813360000000004
4,176,0.003572379
4,181,0.00377275
4,186,0.003985955
4,191,0.004188900000000001
4,196,0.004396222
8,1,1.17725e-6
8,6,1.1652000000000001e-5
8,11,2.7893000000000002e-5
8,16,4.9564e-5
8,21,7.649600000000001e-5
8,26,0.00010731400000000001
8,31,0.00014652800000000002
8,36,0.00018930000000000002
8,41,0.00023635800000000002
8,46,0.000291594
8,51,0.00035004400000000004
8,56,0.00041509800000000003
8,61,0.000482786
8,66,0.0005599520000000001
8,71,0.000640184
8,76,0.000726519
8,81,0.0008158280000000001
8,86,0.000914415
8,91,0.001018402
8,96,0.001126458
8,101,0.00123799
8,106,0.0013561740000000001
8,111,0.001478165
8,116,0.00160716
8,121,0.0017401220000000002
8,126,0.0018823520000000001
8,131,0.0020324270000000003
8,136,0.002177352
8,141,0.0023325760000000003
8,146,0.002495826
8,151,0.002658204
8,156,0.002838597
8,161,0.0030148510000000002
8,166,0.003207927
8,171,0.003392608
8,176,0.003576066
8,181,0.0037844610000000002
8,186,0.003981495
8,191,0.004187367
8,196,0.004412013
