nt,r,time
1,1,1.880448717948718e-7
1,6,1.43725e-6
1,11,3.1203333333333334e-6
1,16,5.1978000000000004e-6
1,21,8.025e-6
1,26,1.1647e-5
1,31,1.5078e-5
1,36,1.9016000000000002e-5
1,41,2.3294e-5
1,46,2.8094000000000002e-5
1,51,3.3584e-5
1,56,3.8914e-5
1,61,4.4895e-5
1,66,5.1277000000000004e-5
1,71,5.805e-5
1,76,6.5764e-5
1,81,7.3268e-5
1,86,8.0974e-5
1,91,8.963000000000001e-5
1,96,9.8176e-5
1,101,0.000107583
1,106,0.00011762300000000001
1,111,0.000127141
1,116,0.000138061
1,121,0.00014788100000000002
1,126,0.000159492
1,131,0.000171134
1,136,0.00018357800000000002
1,141,0.0001955
1,146,0.00020845500000000002
1,151,0.00022113900000000003
1,156,0.000234946
1,161,0.000249242
1,166,0.00026341900000000003
1,171,0.000277796
1,176,0.000293556
1,181,0.000308755
1,186,0.00032465500000000003
1,191,0.000341197
1,196,0.000357919
4,1,3.217758620689655e-7
4,6,3.10975e-6
4,11,6.5464e-6
4,16,1.1473e-5
4,21,1.7337e-5
4,26,2.333e-5
4,31,3.0615e-5
4,36,3.8561e-5
4,41,4.7338e-5
4,46,5.8441e-5
4,51,6.932e-5
4,56,7.8896e-5
4,61,9.2757e-5
4,66,0.000103236
4,71,0.000116447
4,76,0.000134718
4,81,0.000146766
4,86,0.000161769
4,91,0.000178362
4,96,0.000195702
4,101,0.000213954
4,106,0.000233824
4,111,0.000253181
4,116,0.000274662
4,121,0.000294582
4,126,0.00031761
4,131,0.000340743
4,136,0.000364963
4,141,0.000389271
4,146,0.000414547
4,151,0.000439853
4,156,0.000466985
4,161,0.000495394
4,166,0.000523107
4,171,0.00055188
4,176,0.000582163
4,181,0.000612404
4,186,0.000644339
4,191,0.00067688
4,196,0.000709993
8,1,3.22008658008658e-7
8,6,3.102625e-6
8,11,6.7428e-6
8,16,1.1503e-5
8,21,1.7557e-5
8,26,2.3549e-5
8,31,3.1693e-5
8,36,3.8977e-5
8,41,4.9002e-5
8,46,5.899e-5
8,51,6.8405e-5
8,56,8.1827e-5
8,61,9.1551e-5
8,66,0.000107212
8,71,0.000118025
8,76,0.000133115
8,81,0.000148704
8,86,0.000164128
8,91,0.000186
8,96,0.000204165
8,101,0.000217669
8,106,0.00023861
8,111,0.000257658
8,116,0.000279476
8,121,0.000299676
8,126,0.000322451
8,131,0.000346135
8,136,0.000370763
8,141,0.000395714
8,146,0.000421439
8,151,0.000447241
8,156,0.00047464
8,161,0.000503805
8,166,0.000532603
8,171,0.000561718
8,176,0.000591881
8,181,0.000623652
8,186,0.000656212
8,191,0.000689254
8,196,0.000722288
