r,time
1,3.217758620689655e-7
6,3.09925e-6
11,6.7134e-6
16,1.1461e-5
21,1.7411e-5
26,2.3977e-5
31,3.0568e-5
36,3.8482e-5
41,4.7202e-5
46,5.6918e-5
51,6.7742e-5
56,7.8814e-5
61,9.0386e-5
66,0.000103263
71,0.000116377
76,0.000131367
81,0.000146801
86,0.000161762
91,0.000178387
96,0.000195677
101,0.000214104
106,0.00023403
111,0.000253171
116,0.000274707
121,0.000294605
126,0.00031768
131,0.000341046
136,0.000364938
141,0.000389186
146,0.000414874
151,0.000439861
156,0.000466952
161,0.000495417
166,0.000522823
171,0.000551885
176,0.0005818
181,0.00061245
186,0.000644274
191,0.000676667
196,0.000709673
