r,time
1,0.0010784
6,0.0009078
11,0.0008527999999999999
16,0.0008822
21,0.0008006
26,0.0008629999999999998
31,0.0008102
36,0.000887
41,0.0008066
46,0.0008994000000000001
51,0.0008641999999999999
56,0.0009026000000000001
61,0.0009388
66,0.0008844000000000001
71,0.0009381999999999999
76,0.0009042
81,0.0009534000000000001
86,0.001422
91,0.0010329999999999998
96,0.0010664
101,0.0010339999999999998
106,0.0015249999999999999
111,0.0012445999999999998
116,0.0012318
121,0.0013410000000000002
126,0.0013751999999999998
131,0.0013360000000000002
136,0.0013202
141,0.0014994
146,0.0014396
151,0.0014962
156,0.0016701999999999997
161,0.0016418
166,0.0017138000000000001
171,0.0016587999999999998
176,0.0019584
181,0.001831
186,0.002037
191,0.0020842
196,0.0020246
