box_size,median_s,min_s,n_sources
3,0.006577785999979824,0.0065159989999301615,360
5,0.006807732000197575,0.006699367000692291,358
7,0.006919513999491755,0.006855483000435925,352
9,0.007019422999292146,0.006943018999663764,349
11,0.006983915999626333,0.006920707000062976,335
13,0.00694719700004498,0.00688439700024901,326
15,0.006871221999972477,0.006802192000577634,319
17,0.00689673099986976,0.006837910000285774,308
19,0.006851535999885527,0.0067394130001048325,299
21,0.006786491999264399,0.006714905999615439,286
23,0.006751003999852401,0.006689528000606515,275
25,0.006671714000731299,0.006640175000029558,252
27,0.006680079999568989,0.006568538999999873,236
29,0.006624925000323856,0.006561364999470243,225
31,0.00661251200017432,0.006586632999642461,212
33,0.0065935460006585345,0.006507072000204062,197
35,0.006624403999921924,0.006503915999928722,188
37,0.006592974999875878,0.006511791999400884,174
39,0.006525578000037058,0.006471946000601747,164
41,0.006580682000276283,0.006498276000456826,148
43,0.006519917000332498,0.006476384000052349,139
45,0.00656750699999975,0.006503415999759454,132
47,0.006438071999582462,0.006398105999323889,125
49,0.006509567000648531,0.006454542999563273,114
51,0.006541278000440798,0.006469361000199569,109
