nt,N,time
1,1,4.011857142857143e-6
1,10,3.0898e-5
1,50,0.000156686
1,100,0.000319334
1,200,0.0006357120000000001
1,400,0.0012824050000000001
1,500,0.001609013
1,1000,0.003229066
1,2000,0.006435579
4,1,3.9547142857142864e-6
4,10,1.5870000000000002e-5
4,50,4.8382000000000005e-5
4,100,8.5733e-5
4,200,0.00016906
4,400,0.00033540500000000005
4,500,0.000416649
4,1000,0.0008251230000000001
4,2000,0.0016467790000000001
8,1,3.973285714285715e-6
8,10,1.3606000000000002e-5
8,50,3.9164e-5
8,100,6.9732e-5
8,200,0.00013993500000000002
8,400,0.000290661
8,500,0.000332028
8,1000,0.000661854
8,2000,0.0013573910000000001
